epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.72236,1.43417,3.14116,1.81216,0.56343,0.85,0.87839,0.63411,1.65163,1.03651,1.38331,0,0,0
2,2.11346,1.16364,2.77871,1.47372,0.55705,0.85,0.88658,0.61823,1.67115,1.0251,1.38605,1.17822e-06,1.17822e-06,1.17822e-06
3,2.49253,1.08871,2.4973,1.21539,0.55964,0.85,0.85092,0.61539,1.67382,1.01411,1.38505,2.33288e-06,2.33288e-06,2.33288e-06
4,2.80984,1.16334,2.7912,1.48405,0.59685,0.92932,0.90749,0.62393,1.67408,0.99306,1.37254,3.46397e-06,3.46397e-06,3.46397e-06
5,3.22101,1.2061,2.46425,1.61561,0.54542,0.85,0.85818,0.62037,1.6623,1.00975,1.36317,4.5715e-06,4.5715e-06,4.5715e-06
6,3.7735,0.83419,1.92063,1.14925,0.54366,0.85901,0.85847,0.62867,1.6859,1.01643,1.37607,5.65548e-06,5.65548e-06,5.65548e-06
7,4.25962,1.64172,4.07837,1.90511,0.54426,0.8636,0.86302,0.63125,1.68064,1.0051,1.37197,6.71588e-06,6.71588e-06,6.71588e-06
8,4.87089,1.29476,3.84411,1.57106,0.54819,0.86667,0.86536,0.63046,1.68118,1.0239,1.36711,7.75273e-06,7.75273e-06,7.75273e-06
9,5.57326,1.64478,2.70925,1.82511,0.55799,0.86667,0.86179,0.61386,1.67676,1.02871,1.36318,8.76602e-06,8.76602e-06,8.76602e-06
10,6.34488,1.08787,2.20624,1.29926,0.8201,0.64925,0.86282,0.62982,1.67885,1.03038,1.36283,9.75574e-06,9.75574e-06,9.75574e-06
11,6.86194,1.19095,2.30025,1.56114,0.55777,0.86667,0.89712,0.63794,1.67346,1.03623,1.35816,1.07219e-05,1.07219e-05,1.07219e-05
12,7.37951,0.98059,2.31381,1.36176,0.81947,0.64822,0.89708,0.62563,1.67029,1.04484,1.3565,1.16645e-05,1.16645e-05,1.16645e-05
13,7.89205,1.56966,3.57608,1.89121,0.64013,0.78333,0.91402,0.63445,1.68112,1.06084,1.35743,1.25835e-05,1.25835e-05,1.25835e-05
14,8.42158,0.8569,2.46524,1.25134,0.73466,0.76359,0.91435,0.62988,1.67988,1.07319,1.35555,1.3479e-05,1.3479e-05,1.3479e-05
15,8.9766,0.84417,2.99497,1.3598,0.72733,0.76088,0.91405,0.62971,1.69131,1.08981,1.36204,1.43509e-05,1.43509e-05,1.43509e-05
16,9.47001,0.95661,2.93148,1.34683,0.72413,0.76022,0.91398,0.63192,1.70122,1.10596,1.36597,1.51993e-05,1.51993e-05,1.51993e-05
17,9.99762,0.99586,1.67759,1.30355,0.86872,0.64436,0.91199,0.62693,1.68324,1.11134,1.36027,1.60241e-05,1.60241e-05,1.60241e-05
18,10.458,0.70689,1.43291,1.05105,0.86872,0.64436,0.91199,0.62693,1.68324,1.11134,1.36027,1.68253e-05,1.68253e-05,1.68253e-05
19,10.9786,0.73359,1.54426,1.04734,0.84279,0.65,0.9115,0.64151,1.6938,1.14042,1.36858,1.7603e-05,1.7603e-05,1.7603e-05
20,11.4177,1.57086,2.61755,1.69914,0.84279,0.65,0.9115,0.64151,1.6938,1.14042,1.36858,1.83571e-05,1.83571e-05,1.83571e-05
21,11.9064,1.17278,3.17449,1.52609,0.83954,0.65,0.86763,0.61811,1.70159,1.15726,1.37626,1.90876e-05,1.90876e-05,1.90876e-05
22,12.3842,1.26109,2.44664,1.37557,0.83954,0.65,0.86763,0.61811,1.70159,1.15726,1.37626,1.97946e-05,1.97946e-05,1.97946e-05
23,12.8767,0.79781,1.93395,1.27311,0.83146,0.65,0.85587,0.60578,1.70321,1.19088,1.38755,2.0478e-05,2.0478e-05,2.0478e-05
24,13.3171,1.00439,2.55101,1.37087,0.83146,0.65,0.85587,0.60578,1.70321,1.19088,1.38755,2.11379e-05,2.11379e-05,2.11379e-05
25,13.9146,1.42082,3.10944,1.77604,0.83705,0.65,0.8562,0.62271,1.71052,1.22356,1.3892,2.17741e-05,2.17741e-05,2.17741e-05
26,14.4248,1.45111,2.48249,1.62827,0.83705,0.65,0.8562,0.62271,1.71052,1.22356,1.3892,2.23869e-05,2.23869e-05,2.23869e-05
27,14.9318,1.49088,2.52798,1.74112,0.82064,0.65,0.77357,0.548,1.69838,1.26773,1.39021,2.2976e-05,2.2976e-05,2.2976e-05
28,15.4714,0.915,2.23814,1.40951,0.82064,0.65,0.77357,0.548,1.69838,1.26773,1.39021,2.35417e-05,2.35417e-05,2.35417e-05
29,16.0161,1.2569,2.4245,1.65334,0.77784,0.65,0.77403,0.54481,1.7076,1.30078,1.39572,2.40837e-05,2.40837e-05,2.40837e-05
30,16.4893,0.8108,1.59707,1.2056,0.77784,0.65,0.77403,0.54481,1.7076,1.30078,1.39572,2.46022e-05,2.46022e-05,2.46022e-05
31,16.9926,0.64664,1.62086,1.26508,0.77535,0.65,0.77376,0.54623,1.70682,1.33503,1.39805,2.50971e-05,2.50971e-05,2.50971e-05
32,17.4498,0.70777,1.30998,1.12102,0.77535,0.65,0.77376,0.54623,1.70682,1.33503,1.39805,2.55685e-05,2.55685e-05,2.55685e-05
